url,start_s,end_s,score,frame_ms,window_s,stride_s,bandwidth_z,flatness_z,flux_z,crest_db,hf_ratio,dynrange_z,tonality_z,loudness_dbfs,notes,fp_type,fp_bands,fp_hop_s,fp_offset_s,fp_bins_hex
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,89.088,92.096,24.360,23,3.0,0.2,7.55,55.22,-0.28,12.8,0.616,0.06,-55.22,-18.6,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,101.760,104.768,26.004,23,3.0,0.2,7.35,57.79,-0.45,13.0,0.701,3.91,-57.79,-22.7,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,110.016,113.024,11.147,23,3.0,0.2,6.78,23.42,0.98,13.0,0.246,0.05,-23.42,-16.3,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,123.264,128.576,10.283,23,3.0,0.2,4.89,21.82,0.67,12.8,0.384,-0.54,-21.82,-16.5,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,138.624,141.632,15.805,23,3.0,0.2,6.53,35.02,-1.37,12.9,0.552,0.32,-35.02,-27.9,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,145.920,153.920,22.544,23,3.0,0.2,7.32,49.69,0.21,13.2,0.627,0.42,-49.69,-19.5,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,164.544,167.552,23.349,23,3.0,0.2,7.70,49.06,0.35,13.4,0.901,2.77,-49.06,-21.6,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,211.776,214.784,400.246,23,3.0,0.2,-1.69,981.39,-1.95,12.4,0.000,102.66,-981.43,-120.0,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\'I'm Eating Your Pie' - Above All That Is Random 2 - Christina Grimmie & Sarah.mp3,8.832,16.832,16.357,23,3.0,0.2,6.39,36.61,-0.95,13.3,0.430,0.61,-36.61,-28.1,"",bandpeak_v1,32,0.02133,1.620,050505050505050505050505050505050504040505050505050505060606060606060c0c0605060505050506050505050506070707030303030304040303030404030505050505040505050505040505050505050505050505050305050505050506060606060605050505050505050505050505070707070404050505050505050505070606070606050505060204040405050505050505040604050404050505020205060505050505050505050505050505050505050505050505050505050505050908050508060606060604060505050605050505050004000403030303020202000000000000
file://D:\Development\Sonar-Web\SonarVid\'I'm Eating Your Pie' - Above All That Is Random 2 - Christina Grimmie & Sarah.mp3,24.384,30.080,11.555,23,3.0,0.2,6.32,24.01,0.43,12.9,0.475,-0.07,-24.01,-21.1,"",bandpeak_v1,32,0.02133,1.620,050505050505050505050505050505050504040505050505050505060606060606060c0c0605060505050506050505050506070707030303030304040303030404030505050505040505050505040505050505050505050505050305050505050506060606060605050505050505050505050505070707070404050505050505050505070606070606050505060204040405050505050505040604050404050505020205060505050505050505050505050505050505050505050505050505050505050908050508060606060604060505050605050505050004000403030303020202000000000000
